Model,Accuracy,Precision,Recall,F1 Score,CV F1 Mean
Logistic Regression,0.9661508704061895,0.9444444444444444,0.7786259541984732,0.8535564853556485,0.8567994053564159
Decision Tree,0.9632495164410058,0.911504424778761,0.7862595419847328,0.8442622950819673,0.7998435697025356
