Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression (Baseline),0.9622823984526112,0.9423076923076923,0.7480916030534351,0.8340425531914893
Random Forest,0.9584139264990329,1.0,0.6717557251908397,0.8036529680365296
Gradient Boosting,0.9729206963249516,0.9478260869565217,0.8320610687022901,0.8861788617886179
AdaBoost,0.9642166344294004,0.9607843137254902,0.7480916030534351,0.8412017167381974
Voting Classifier,0.9709864603481625,0.9719626168224299,0.7938931297709924,0.8739495798319328
